row_name,logConc,logFC,pVal.Tgw,adj.pVal.Tgw,Tgw.Disp,UpDown.Tgw,B29,B30,B31,B32,LO2,LO3,LO4,LO5
gene2423,3.335565417,7.598929242,1.50E-32,6.61E-31,0.060268733,1,420,93,304,1003,348,186,508,308
gene2234,-3.827537495,7.238536236,4.52E-32,1.97E-30,0.067215467,-1,3199,794,2157,8088,15,24,24,9
gene3165,3.846510474,9.446479156,7.71E-32,3.33E-30,0.081457891,1,1551,223,650,2033,2215,739,1470,768
gene1161,3.983734628,8.717803855,8.21E-32,3.50E-30,0.085086304,1,458,123,551,1384,643,455,1219,675
gene2336,3.517715209,10.3393092,8.62E-32,3.64E-30,0.070406293,1,2636,545,1924,4901,2524,2050,3497,1171
gene1016,3.528932735,7.527695631,1.20E-31,4.99E-30,0.068225526,1,346,100,190,949,627,241,398,132
gene838,3.359070437,10.92465479,1.65E-31,6.82E-30,0.065818362,1,5084,814,2701,9209,4586,1982,5308,2189
gene3133,-3.355541031,7.159431506,1.78E-31,7.27E-30,0.055904855,-1,3388,762,1605,7771,40,12,32,14
gene1292,-3.803260474,7.438518172,4.19E-31,1.69E-29,0.070912845,-1,4592,1048,2522,5384,22,20,28,15
gene2653,-3.975481304,6.658578584,5.06E-31,2.02E-29,0.07035998,-1,2551,465,1274,5603,19,8,12,6
gene1925,3.142996362,8.785872261,5.70E-31,2.26E-29,0.059376472,1,1271,227,716,2369,893,512,1323,444
gene3939,3.337059761,10.1004195,6.76E-31,2.65E-29,0.066345279,1,3228,532,1313,4808,2200,1353,2658,1394
gene1756,-3.834256247,7.440434395,8.39E-31,3.26E-29,0.073109729,-1,2862.5,1285.57,2481.94,7984.98,33.33,23.01,17.42,10.09
gene2068,4.673546717,8.853572147,9.51E-31,3.65E-29,0.113513729,1,298,143,283,912,447,1039,1139,547
gene3975,-2.826588753,7.652981355,9.76E-31,3.71E-29,0.043539861,-1,4279,1034,2446,10449,55,29,69,35
gene3294,3.137223345,9.329529647,1.37E-30,5.14E-29,0.060126955,1,1565,379,948,4198,1788,901,1340,534
gene994,3.194643088,8.82000869,2.19E-30,8.18E-29,0.062288279,1,969,281,634,2914.38,619,630,1190,602
gene1129,3.431265869,8.973126709,2.37E-30,8.77E-29,0.070666539,1,1113,238,523,2955,679,863,1152,647
gene1707,2.686424401,7.99409113,2.92E-30,1.07E-28,0.044709877,1,708,227,550,2023,600,306,537,275
gene2066,4.099344684,10.27521126,3.37E-30,1.22E-28,0.095650148,1,2557,298,1008,2693,2126,1433,3626,1758
gene2184,3.229165552,8.713226085,3.55E-30,1.27E-28,0.063803198,1,1042,261,691,1680,1020,406,1012,535
gene1782,-3.827142784,6.637999713,3.81E-30,1.35E-28,0.067037661,-1,2110,653,1031,5503,13,8,17,10
gene2085,3.015967686,9.313997672,3.90E-30,1.37E-28,0.057000306,1,1472,393,1272,3992,1182,867,1671,663
gene2918,2.96535398,9.16014467,4.18E-30,1.46E-28,0.055338889,1,1721,361,1073,3246,1252,633,1443,646
gene2560,-4.013715008,6.559980395,4.40E-30,1.52E-28,0.071616406,-1,2018,521,1089,5743,9,8,15,8
gene1342,2.93748597,7.650163581,4.80E-30,1.65E-28,0.052304235,1,457,167,427,1097,382,262,516,223
gene2735,3.996346208,8.135365855,6.17E-30,2.10E-28,0.090680083,1,409,86,264,1029,882,185,973,247
gene2674,-4.024111917,6.428793768,9.69E-30,3.26E-28,0.072788165,-1,1645,505,1078,5100,14,4,12,7
gene280,-3.26124442,7.537049742,1.03E-29,3.45E-28,0.057028928,-1,4468,915,2189,10034,28,29,38,30
gene2058,3.985463416,10.5506898,1.70E-29,5.62E-28,0.093666175,1,3127,498,1210,3435,2389,2857,3475,1635
gene3751,-3.155378358,9.290848128,1.74E-29,5.71E-28,0.061213922,-1,13956.09,3897.62,7770.24,28199.57,123.11,115.71,137.58,83.66
