gene3491,GO:0016491
gene3491,GO:0004316
gene1959,GO:0051287
gene1956,GO:0008270
gene1957,GO:0055085
gene1954,GO:0051287
gene1955,GO:0006096
gene1950,GO:0008270
gene1951,GO:0006730
gene2540,GO:0030246
gene1888,GO:0051258
gene1889,GO:0009245
gene1884,GO:0071555
gene1885,GO:0071555
gene1886,GO:0043093
gene1887,GO:0051301
gene1880,GO:0071555
gene1881,GO:0071555
gene1882,GO:0071555
gene1883,GO:0071555
gene1851,GO:0016887
gene3928,GO:0008654
gene3925,GO:0006351
gene3927,GO:0043565
gene1314,GO:0020037
gene1315,GO:0042597
gene1312,GO:0006189
gene1318,GO:0050661
gene1319,GO:0017057
gene137,GO:0003677
gene819,GO:0030246
gene767,GO:0006351
gene817,GO:0016811
gene2222,GO:0016021
gene763,GO:0006351
gene761,GO:0016021
gene760,GO:0020037
gene1228,GO:0004252
gene360,GO:0055114
gene3819,GO:0060698
gene366,GO:0020037
gene3815,GO:0006438
gene3814,GO:0006260
gene369,GO:0009401
gene368,GO:0046872
gene1224,GO:0015424
gene1225,GO:0030288
gene1226,GO:0016021
gene1227,GO:0016021
gene2618,GO:0006355
gene100,GO:0043565
gene106,GO:0042742
gene104,GO:0008170
gene969,GO:0016021
gene968,GO:0006355
gene1767,GO:0008233
gene1766,GO:0006351
gene1761,GO:0008725
gene1763,GO:0016301
gene1762,GO:0016020
gene2009,GO:0016021
gene965,GO:0003677
gene1768,GO:0051536
gene967,GO:0019866
gene966,GO:0016020
gene1161,GO:0008097
gene1160,GO:0009279
gene3570,GO:0016021
gene1165,GO:0008408
gene1169,GO:0009231
gene2558,GO:0016021
gene2557,GO:0016021
gene569,GO:0016300
gene568,GO:0016300
gene565,GO:0046872
gene561,GO:0016021
gene560,GO:0008076
gene562,GO:0046872
gene2320,GO:0051205
gene616,GO:0016021
gene2322,GO:0046872
gene2323,GO:0016740
gene613,GO:0005524
gene2325,GO:0016021
gene2454,GO:0016021
gene2327,GO:0016491
gene2328,GO:0050660
gene2001,GO:0031119
gene2458,GO:0046872
gene2459,GO:0046872
gene619,GO:0046872
gene618,GO:0016020
gene586,GO:0051539
gene584,GO:0016021
gene583,GO:0042597
gene582,GO:0016020
gene581,GO:0016021
gene580,GO:0016021
gene3857,GO:0016597
gene1097,GO:0005524
gene1095,GO:0016021
gene1094,GO:0051782
gene2218,GO:0016024
gene1092,GO:0016021
gene1091,GO:0046677
gene2215,GO:0070469
gene2216,GO:1901106
gene2217,GO:0045892
gene2212,GO:0019646
gene2213,GO:0005507
gene3856,GO:0006351
gene3038,GO:0030170
gene3037,GO:0006355
gene3036,GO:0009231
gene3032,GO:0003824
gene3030,GO:0016740
gene2034,GO:0009423
gene2035,GO:0046417
gene2036,GO:0046417
gene2037,GO:0044238
gene2030,GO:0051537
gene2031,GO:0051536
gene2032,GO:0043115
gene2521,GO:0016021
gene2038,GO:0051205
gene2039,GO:0009982
gene2528,GO:0016021
gene2529,GO:0006351
gene1548,GO:0009295
gene1545,GO:0001882
gene1544,GO:0001882
gene1546,GO:0016787
gene1541,GO:0016020
gene1543,GO:0016021
gene1542,GO:0071266
gene1789,GO:0016021
gene1788,GO:0019281
gene803,GO:0016021
gene1783,GO:0016021
gene1781,GO:0016021
gene1780,GO:0016887
gene1784,GO:0006355
gene801,GO:0009102
gene2148,GO:0060698
gene3322,GO:0016020
gene3493,GO:0016747
gene3492,GO:0016853
gene3495,GO:0050660
gene804,GO:0055085
gene3497,GO:0016853
gene3496,GO:0016874
gene2140,GO:0051287
gene3498,GO:0004419
gene3329,GO:0016491
gene2143,GO:0006351
gene2145,GO:0051603
gene2146,GO:0070011
gene2147,GO:0046428
gene1591,GO:0051287
gene1433,GO:0044206
gene1435,GO:0005622
gene1434,GO:0046872
gene1437,GO:0055085
gene1436,GO:0005524
gene1438,GO:0016020
gene3144,GO:0016887
gene3142,GO:0051537
gene3141,GO:0051539
gene3140,GO:0016887
gene58,GO:0030170
gene59,GO:0016226
gene57,GO:0009089
gene54,GO:0016787
gene1239,GO:0019439
gene1238,GO:0004869
gene2841,GO:0016787
gene2840,GO:0016491
gene2843,GO:0006281
gene2845,GO:0055114
gene2844,GO:0008270
gene2847,GO:0016787
gene2846,GO:0016740
gene1941,GO:0055129
gene1940,GO:0016020
gene1943,GO:0006810
gene2679,GO:0008080
gene1945,GO:0031564
gene1944,GO:0006810
gene1947,GO:0030145
gene1949,GO:0004519
gene1948,GO:0008168
gene1899,GO:0015628
gene1898,GO:0009297
gene1897,GO:0016021
gene1896,GO:0016021
gene1895,GO:0015937
gene1894,GO:0043093
gene1893,GO:0008657
gene1892,GO:0008413
gene1891,GO:0065002
gene4047,GO:0070814
gene2862,GO:0008168
gene22,GO:0043023
gene3955,GO:0030145
gene3956,GO:0006189
gene3957,GO:0008270
gene3950,GO:0016740
gene3951,GO:0016021
gene3953,GO:0030261
gene1307,GO:0051903
gene1306,GO:0051907
gene1305,GO:0051907
gene1304,GO:0050660
gene1301,GO:0047605
gene1300,GO:0034077
gene21,GO:0015628
gene1309,GO:0005524
gene1308,GO:0017153
gene2174,GO:0016740
gene118,GO:0019068
gene809,GO:0009117
gene778,GO:0055085
gene775,GO:0055085
gene776,GO:0006351
gene777,GO:0016021
gene3246,GO:0016020
gene772,GO:0016740
gene2072,GO:0019843
gene370,GO:0016740
gene371,GO:0019344
gene372,GO:0016021
gene373,GO:0046872
gene376,GO:0006424
gene1984,GO:0016021
gene1233,GO:0020037
gene1232,GO:0045278
gene1231,GO:0020037
gene1236,GO:0051213
gene1235,GO:0016021
gene1234,GO:0020037
gene2077,GO:0019843
gene976,GO:0043565
gene977,GO:0016021
gene974,GO:0016021
gene972,GO:0061603
gene973,GO:0016887
gene971,GO:0006777
gene111,GO:0019058
gene112,GO:0019068
gene1468,GO:0051073
gene978,GO:0009002
gene1469,GO:0009236
gene116,GO:0019028
gene1154,GO:0017013
gene1155,GO:0016787
gene2129,GO:0045454
gene2489,GO:0015930
gene579,GO:0016790
gene1463,GO:0005737
gene572,GO:0006355
gene573,GO:0008821
gene571,GO:0006418
gene576,GO:0016020
gene577,GO:0055114
gene574,GO:0009432
gene575,GO:0009432
gene2445,GO:0006457
gene605,GO:0042626
gene2331,GO:0003677
gene2446,GO:0016021
gene2337,GO:0046961
gene2440,GO:0008324
gene2335,GO:0046933
gene2334,GO:0045263
gene2339,GO:0046933
gene2338,GO:0046961
gene608,GO:0055085
gene2448,GO:0009398
gene594,GO:0016780
gene595,GO:0016887
gene596,GO:0016021
gene597,GO:0071555
gene2079,GO:0019843
gene591,GO:0048038
gene592,GO:0048038
gene598,GO:0005622
gene599,GO:0055085
gene1012,GO:0006351
gene1011,GO:0006950
gene2208,GO:0016627
gene2207,GO:0048034
gene2206,GO:0016020
gene2204,GO:0051604
gene2203,GO:0016757
gene1375,GO:0016787
gene2200,GO:0006139
gene3002,GO:0016987
gene3551,GO:0020037
gene3553,GO:0016020
gene3006,GO:0009288
gene3007,GO:0009424
gene3556,GO:0042255
gene753,GO:0008168
gene3558,GO:0016740
gene2532,GO:0046872
gene2027,GO:0052906
